Chemicals,Chemical_Count,PharmGKB_ID,RS_ID,Chromosome,Postion,Gene,Annotation_ID,Level_of_Evidence,Types,Phenotypes,OMB_Races,Unknown_Race,Mixed_Population
PA452618:opioids,1,PA166136374,rs2295632,chr1,46879562,FAAH,1448603290,3,toxicity,,white,,
PA450550:morphine,1,PA166163294,rs2295632,chr1,46879562,FAAH,1448603296,3,toxicity,,white,,
PA451906:warfarin,1,PA166160874,rs2304429,chr2,25458546,DNMT3A,1448267402,3,dosage,PA166123431:heart valve replacement,asian,,
PA448499:atenolol,1,PA166135009,rs2301339,chr12,6954624,GNB3,1183630590,3,efficacy,PA447288:Essential hypertension,white,,
PA449661:flunisolide,1,PA166135008,rs2305089,chr6,166579270,T,1183630722,3,efficacy,PA443450:Asthma,white,,
PA449177:cytarabine;PA449655:fludarabine;PA164749431:gemtuzumab ozogamicin;PA449961:idarubicin,4,PA166135319,rs2302948,chr19,49096065,SULT2B1,1183684157,3,toxicity,"PA444760:Leukemia, Myeloid, Acute",,1,
PA451728:topiramate;PA451978:zonisamide,2,PA166136320,rs2306719,chr15,63633238,CA12,1444703981,4,other,,,1,
PA449177:cytarabine;PA449961:idarubicin,2,PA166135522,rs2306744,chr4,71859352,DCK,1184472894,3,efficacy,"PA444760:Leukemia, Myeloid, Acute",,1,
PA130620651:anthracyclines and related substances,1,PA166159416,rs2305364,chr15,85452275,SLC28A1,1448109793,3,toxicity,PA445062:Neoplasms,,1,
PA449621:fexofenadine,1,PA166135812,rs2306168,chr11,74907582,SLCO2B1,1444704045,3,pk,,,1,
PA449441:efavirenz,1,PA166153180,rs2307424,chr1,161232815,NR1I3,1447987015,3,pk,PA447230:HIV,,,1
PA449167:cyclosporine,1,PA166158940,rs231775,chr2,204732714,CTLA4,1448100115,3,toxicity,PA165817016:Kidney Transplantation,,1,
PA448771:capecitabine;PA128406956:fluorouracil;PA164713220:Pyrimidine analogues;PA166115442:s 1 (combination),4,PA166134467,rs2297595,chr1,98165091,DPYD,1448267804,3,toxicity; pk,PA445062:Neoplasms,,,1
PA450243:lithium,1,PA166134687,rs2314339,chr17,38253211,NR1D1; THRA,982032326,3,efficacy,PA447199:Bipolar Disorder,white,,
PA449014:cisplatin;PA449748:gemcitabine,2,PA166158748,rs232043,chr11,4139125,RRM1,1448097788,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung",asian,,
PA162356187:muraglitazar,1,PA166134244,rs2368564,chr1,204124864,REN,1043737607,3,toxicity,PA443886:Diabetes Mellitus; PA443994:Edema; PA444528:Hyperlipidemias,,1,
PA450428:methotrexate,1,PA166134255,rs2372536,chr2,216190020,ATIC,981418724,3,efficacy,"PA443434:Arthritis, Rheumatoid",,1,
PA450401:methadone,1,PA166134704,rs2378676,chr9,87619422,NTRK2,982032499,3,dosage,PA444460:Heroin Dependence; PA445043:Opioid-Related Disorders,,,1
PA449899:hydrochlorothiazide,1,PA166135256,rs238,chr9,98786276,,1183634053,3,efficacy,PA444552:Hypertension,white,,
PA451728:topiramate,1,PA166153065,rs2396185,chr19,7246661,INSR,1447983175,4,efficacy,,white,,
PA450688:olanzapine;PA451201:quetiapine;PA451257:risperidone;PA451974:ziprasidone,4,PA166135793,rs2412459,chr15,40295959,EIF2AK4,1444703534,4,efficacy,PA447216:Schizophrenia,,1,
PA449841:haloperidol,1,PA166135794,rs2412459,chr15,40295959,EIF2AK4,1444703542,4,efficacy,PA447216:Schizophrenia,white,,
PA449673:fluoxetine,1,PA166134841,rs242941,chr17,43892519,CRHR1,1043876909,3,efficacy,"PA447196:Anxiety Disorders; PA447321:Depressive Disorder, Major",asian,,
PA450379:mercaptopurine;PA450428:methotrexate,2,PA166159010,rs2413739,chr22,43397036,PACSIN2,1448102892,3,toxicity,PA446155:Precursor Cell Lymphoblastic Leukemia-Lymphoma,,,1
PA450379:mercaptopurine,1,PA166159957,rs2413739,chr22,43397036,PACSIN2,1448256103,3,toxicity,PA446155:Precursor Cell Lymphoblastic Leukemia-Lymphoma,,1,
PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,PA166135724,rs2430561,chr12,68552522,IFNG,1444687051,3,efficacy,PA443815:Crohn Disease; PA446116:Inflammatory Bowel Diseases,,,
PA10407:calcium channel blockers,1,PA166135965,rs2429427,chr17,61393816,TANC2,1446906417,3,efficacy,PA444552:Hypertension,asian,,
PA450688:olanzapine,1,PA166135038,rs2440390,chr11,113286878,DRD2,1183603974,3,toxicity,PA447208:Mental Disorders,white,,
PA452233:antipsychotics,1,PA166135264,rs2445142,chr1,22225743,HSPG2,1183632159,3,toxicity,PA447216:Schizophrenia,white,,
PA449673:fluoxetine,1,PA166135808,rs2433320,chr4,95370805,,1444704010,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA448785:carbamazepine,1,PA166153184,rs2461817,chr3,119524651,NR1I2,1447987057,3,pk,PA444065:Epilepsy,,,1
PA449014:cisplatin,1,PA166159504,rs244898,chr5,167918926,RARS,1448112619,4,efficacy,PA443512:Urinary Bladder Neoplasms,,1,
PA450688:olanzapine,1,PA166135815,rs2472297,chr15,75027880,CYP1A1,1448107339,3,pk,PA447215:Psychotic Disorders,white,,
PA450428:methotrexate,1,PA166134252,rs246240,chr16,16119024,ABCC1,981418970,3,toxicity,PA443937:Drug Toxicity; PA445451:Psoriasis,,1,
PA450428:methotrexate,1,PA166135868,rs246240,chr16,16119024,ABCC1,1444843394,3,efficacy,"PA443434:Arthritis, Rheumatoid",,,1
PA450801:paroxetine,1,PA166135149,rs2470890,chr15,75047426,CYP1A2,1183617627,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA164760843:deferasirox,1,PA166136165,rs2470890,chr15,74755085,CYP1A2,1448101447,3,pk,PA446432:beta-Thalassemia,,,1
PA142650384:pitavastatin,1,PA166134883,rs2306283,chr12,21329737,SLCO1B1,1043880599,3,other,,asian,,
PA448500:atorvastatin,1,PA166134884,rs2306283,chr12,21329738,SLCO1B1,1447953143,3,efficacy,PA444516:Hypercholesterolemia,,1,
PA133950441:hmg coa reductase inhibitors,1,PA166134906,rs2306283,chr12,21329738,SLCO1B1,1446908949,3,toxicity,PA443886:Diabetes Mellitus; PA444516:Hypercholesterolemia,,1,
PA450085:irinotecan,1,PA166135355,rs2306283,chr12,21329738,SLCO1B1,1183697548,3,efficacy,PA446108:Colorectal Neoplasms,asian,,
PA450428:methotrexate,1,PA166135359,rs2306283,chr12,21329738,SLCO1B1,1444667977,3,other,PA446155:Precursor Cell Lymphoblastic Leukemia-Lymphoma,,1,
PA451234:repaglinide,1,PA166134168,rs2306283,chr12,21329738,SLCO1B1,981418878,3,other,,white,,
PA451089:pravastatin,1,PA166134214,rs2306283,chr12,21329737,SLCO1B1,1043880589,3,efficacy,,white,,
PA164754992:rocuronium,1,PA166135895,rs2306283,chr12,21329738,SLCO1B1,1445401265,3,efficacy,,asian,,
PA164748728:mycophenolic acid,1,PA166153465,rs2306283,chr12,21329738,SLCO1B1,1448100578,3,pk,PA165817016:Kidney Transplantation,asian,,
PA451250:rifampin,1,PA166158881,rs2306283,chr12,21329738,SLCO1B1,1448099130,3,pk,,,,1
PA7000:sorafenib,1,PA166160272,rs2306283,chr12,21329738,SLCO1B1,1448258739,3,toxicity,PA443899:Diarrhea,,,1
PA450085:irinotecan,1,PA166161285,rs2306283,chr12,21329738,SLCO1B1,1448428035,3,toxicity,PA445062:Neoplasms,,1,
PA450801:paroxetine,1,PA166135150,rs2472304,chr15,75044238,CYP1A2,1183617648,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA134687924:erlotinib,1,PA166136410,rs2472304,chr15,75044238,CYP1A2,1446896601,3,pk,,asian,,
PA133950441:hmg coa reductase inhibitors,1,PA166160819,rs247616,chr16,56989590,,1448266668,3,efficacy,,,1,
PA448803:carboplatin;PA449014:cisplatin,2,PA166135377,rs2494752,chr14,105263608,AKT1,1183699234,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung",asian,,
PA451257:risperidone,1,PA166134218,rs2494732,chr14,105239192,AKT1,981418946,3,efficacy,PA447216:Schizophrenia,asian,,
PA448803:carboplatin;PA449014:cisplatin,2,PA166159178,rs2498804,chr14,105233095,,1448102671,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung",white,,
PA450688:olanzapine,1,PA166135037,rs2497538,chrX,113968341,HTR2C,1183603768,3,toxicity,PA128406954:Weight gain,white,,
PA450243:lithium,1,PA166134686,rs2499984,chr11,5061540,OR52J2P; OR52J3,982031355,3,efficacy,PA447199:Bipolar Disorder,,1,
PA449383:docetaxel,1,PA166158783,rs2501873,chr1,161204538,NR1I3,1448099222,3,toxicity,PA443340:Anemia; PA445046:Nasopharyngeal Neoplasms,asian,,
PA451906:warfarin,1,PA166136080,rs2501873,chr1,161204538,NR1I3,1184997930,3,dosage,,asian,,
PA449383:docetaxel,1,PA166158781,rs2502815,chr1,161203227,NR1I3,1448099205,3,toxicity,PA443340:Anemia; PA445046:Nasopharyngeal Neoplasms,native; asian,,
PA451250:rifampin,1,PA166134215,rs2472677,chr3,119518417,NR1I2,981418943,4,other,,white,,
PA10251:atazanavir,1,PA166136093,rs2472677,chr3,119518417,NR1I2,1447987149,3,pk,PA443250:Acquired Immunodeficiency Syndrome; PA447230:HIV; PA162355520:nephrolithiasis,,,1
PA449177:cytarabine;PA449655:fludarabine;PA164749431:gemtuzumab ozogamicin;PA449961:idarubicin,4,PA166135320,rs2515641,chr10,135351362,CYP2E1,1183684166,3,toxicity,"PA444760:Leukemia, Myeloid, Acute",,1,
PA452233:antipsychotics,1,PA166151943,rs2513265,chr11,105423795,,1447953167,3,efficacy,PA447216:Schizophrenia,asian,,
PA451749:triamcinolone,1,PA166159308,rs2523864,chr6,31018546,HCG22,1448107484,3,toxicity,PA445532:Retinal Diseases,white,,
PA452229:antidepressants,1,PA166158948,rs2532560,chr12,4161871,PARP11,1448106577,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA450657:nortriptyline,1,PA166134914,rs2500535,chr6,149329267,UST,1127092686,3,efficacy,"PA447321:Depressive Disorder, Major",,1,
PA449061:clozapine,1,PA166159631,rs2535629,chr3,52833219,ITIH3,1448123839,3,efficacy,PA447216:Schizophrenia,,,1
PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,PA166161864,rs2546890,chr5,158759900,IL12B,1448522771,3,efficacy,PA445451:Psoriasis,white,,
PA448068:salbutamol;PA134687887:selective beta-2-adrenoreceptor agonists,2,PA166134229,rs255100,chr7,30728908,CRHR2,981418955,3,efficacy,PA443450:Asthma,white,,
PA451906:warfarin,1,PA166134210,rs2359612,chr16,31103796,VKORC1,1448276199,2A,dosage,,,,1
PA449014:cisplatin;PA128406956:fluorouracil;PA131285527:oxaliplatin,3,PA166135401,rs25648,chr6,43738977,VEGFA,1183700861,3,efficacy,PA445742:Stomach Neoplasms,,1,
PA448641:bisoprolol,1,PA166158988,rs2514036,chr11,67415054,ACY3,1448100519,3,efficacy,PA444552:Hypertension,white,,
PA450616:nevirapine,1,PA166152723,rs2562519,chr5,89780971,POLR3G,1447960800,3,toxicity,PA447230:HIV,asian,,
PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,PA166135718,rs2569190,chr5,140012916,CD14,1444686988,3,efficacy,"PA443750:Colitis, Ulcerative",,,
PA165958354:telaprevir,1,PA166158983,rs2585428,chr20,52786897,CYP24A1,1448100476,3,pk,PA444445:Hepatitis C,,1,
PA451262:rivastigmine,1,PA166153446,rs2571598,chr7,100489639,ACHE,1447990197,3,efficacy,PA443319:Alzheimer Disease,,1,
PA451906:warfarin,1,PA166136233,rs2592551,chr2,85780131,GGCX,1444680143,3,dosage,PA443459:Atrial Fibrillation,asian,,
PA448771:capecitabine,1,PA166136138,rs2612091,chr18,683607,ENOSF1,1448568546,3,toxicity,PA445062:Neoplasms,native; white,,
PA10804:imatinib,1,PA166135705,rs2631367,chr5,131705458,SLC22A5,1444673089,3,efficacy,PA151958383:Gastrointestinal Stromal Tumors,white,,
PA449673:fluoxetine,1,PA166134053,rs25531,chr17,28564346,SLC6A4,1446908898,4,efficacy,"PA447321:Depressive Disorder, Major",,1,
PA449015:citalopram,1,PA166135844,rs25531,chr17,28564346,SLC6A4,1444705219,3,toxicity,,,,1
PA166122986:radiotherapy,1,PA166134029,rs264588,chr2,159936391,TANC1,1184514257,2B,toxicity,PA445425:Prostatic Neoplasms,,1,
PA448785:carbamazepine;PA450911:phenobarbital;PA450947:phenytoin;PA451846:valproic acid,4,PA166159234,rs2606345,chr15,75017176,CYP1A1,1448424091,3,efficacy,PA444065:Epilepsy,asian,,
PA164760843:deferasirox,1,PA166136163,rs2606345,chr15,75017176,CYP1A1,1448101453,3,pk,PA446432:beta-Thalassemia,,,1
PA166122986:radiotherapy,1,PA166135536,rs264631,chr2,159950865,TANC1,1184514264,2A,toxicity,PA445425:Prostatic Neoplasms,,1,
PA450403:methamphetamine,1,PA166134190,rs2619538,chr6,15665209,DTNBP1,981418759,4,toxicity,PA447215:Psychotic Disorders,asian,,
PA166122986:radiotherapy,1,PA166135535,rs264651,chr2,159929431,TANC1,1184514252,2A,toxicity,PA445425:Prostatic Neoplasms,,1,
PA166122986:radiotherapy,1,PA166134028,rs264663,chr2,159910206,TANC1,1184514244,3,toxicity,PA445425:Prostatic Neoplasms,,1,
PA448515:azathioprine;PA450379:mercaptopurine,2,PA166135613,rs2647087,chr6,32681049,,1184989695,3,toxicity,PA443937:Drug Toxicity; PA446116:Inflammatory Bowel Diseases; PA445220:Pancreatitis,,1,
PA10804:imatinib,1,PA166135375,rs2631372,chr5,131703578,SLC22A5,1183698850,3,efficacy,PA151958383:Gastrointestinal Stromal Tumors,white,,
PA450428:methotrexate,1,PA166135797,rs2650972,chr20,6783274,,1444703583,4,efficacy,"PA443434:Arthritis, Rheumatoid",asian,,
PA451257:risperidone,1,PA166134216,rs2661319,chr1,163039777,RGS4,1448099295,3,efficacy,PA447216:Schizophrenia,asian,,
PA448499:atenolol,1,PA166163225,rs2669429,chr8,105463690,DPYS,1448602694,3,toxicity,PA444522:Hyperglycemia; PA444552:Hypertension,white,,
PA165950341:ivacaftor,1,PA166135490,rs267606723,chr7,117282505,CFTR,1184472600,1A,efficacy,PA443829:Cystic Fibrosis,,1,
PA450395:metformin,1,PA166136201,rs2683511,chr12,53804490,SP1,1444668297,3,efficacy; pk,PA443886:Diabetes Mellitus,,,1
PA450546:montelukast,1,PA166134192,rs2660845,chr12,96438553,LTA4H,981418761,3,efficacy,PA443450:Asthma,white,,
PA452167:aminoglycoside antibacterials,1,PA166136262,rs267606618,chrM,1095,MT-RNR1,1444843903,2B,toxicity,PA162263534:Ototoxicity,,,1
PA448803:carboplatin;PA449014:cisplatin,2,PA166159176,rs2699887,chr3,178866408,PIK3CA,1448102638,3,toxicity,"PA443622:Carcinoma, Non-Small-Cell Lung",white,,
PA452167:aminoglycoside antibacterials,1,PA166136261,rs267606619,chrM,1494,MT-RNR1,1448256035,2B,toxicity,PA162263534:Ototoxicity,,,1
PA448687:bupropion,1,PA166158999,rs2717162,chr18,74968327,GALR1,1448100692,3,efficacy,PA445876:Tobacco Use Disorder,white,,
PA450626:nicotine,1,PA166159000,rs2717162,chr18,74968327,GALR1,1448100700,3,efficacy,PA445876:Tobacco Use Disorder,,,1
PA10804:imatinib,1,PA166135708,rs2725252,chr4,89061910,ABCG2,1444673417,3,efficacy,"PA446171:Leukemia, Myelogenous, Chronic, BCR-ABL Positive",,1,
PA449061:clozapine,1,PA166152840,rs265976,chr5,174862420,DRD1,1447963654,3,efficacy,PA447216:Schizophrenia,,,1
PA164713257:Selective serotonin reuptake inhibitors,1,PA166136321,rs2734833,chr11,113292920,DRD2,1444703990,4,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA450688:olanzapine,1,PA166135857,rs2734841,chr11,113281776,DRD2,1444706874,3,toxicity,,white,,
PA450688:olanzapine,1,PA166135858,rs2734842,chr11,113280274,DRD2,1444706881,3,toxicity,,white,,
PA449594:fenofibrate,1,PA166152850,rs2727786,chr11,116708523,APOA1,1447963826,3,efficacy,PA446120:Hypertriglyceridemia,asian,,
PA451089:pravastatin,1,PA166158958,rs2738466,chr19,11242765,LDLR,1448100247,3,efficacy,PA446021:Vascular Diseases,white,,
PA165110775:SN-38,1,PA166135714,rs2741049,chr2,234581834,UGT1A9,1444686891,4,pk,,asian,,
PA450732:oxcarbazepine,1,PA166163496,rs2741049,chr2,234581834,UGT1A10; UGT1A7; UGT1A8; UGT1A9,1448612667,3,efficacy,PA444065:Epilepsy; PA445629:Seizures,asian,,
PA448771:capecitabine,1,PA166136139,rs2741171,chr18,700687,ENOSF1,1444608206,3,toxicity,PA446108:Colorectal Neoplasms,white,,
PA448687:bupropion,1,PA166135036,rs2742390,chr3,45756722,SACM1L,1183603162,3,toxicity,"PA447321:Depressive Disorder, Major",,1,
PA448687:bupropion,1,PA166135034,rs2742421,chr3,45732515,SACM1L,1183602853,3,toxicity,"PA447321:Depressive Disorder, Major",,1,
PA448687:bupropion,1,PA166135033,rs2742423,chr3,45733430,SACM1L,1183602697,3,toxicity,"PA447321:Depressive Disorder, Major",,1,
PA448687:bupropion,1,PA166135035,rs2742417,chr3,45731451,SACM1L,1183603020,3,toxicity,"PA447321:Depressive Disorder, Major",,1,
PA452167:aminoglycoside antibacterials,1,PA166136144,rs267606617,chrM,1555,MT-RNR1,1448256022,1B,toxicity,PA162263534:Ototoxicity,,,1
PA448687:bupropion,1,PA166135032,rs2742435,chr3,45740863,SACM1L,1183602564,3,toxicity,"PA447321:Depressive Disorder, Major",,1,
PA449748:gemcitabine,1,PA166153011,rs274713,chr5,6723560,PAPD7,1447981479,3,efficacy,PA445218:Pancreatic Neoplasms,asian,,
PA450401:methadone,1,PA166136297,rs2760118,chr6,24503590,ALDH5A1,1444702776,3,efficacy,PA445043:Opioid-Related Disorders,white,,
PA450877:perindopril,1,PA166134113,rs275651,chr3,148414887,AGTR1,1447964506,3,efficacy,PA443796:Coronary Artery Disease,white,,
PA164713160:Pertussis vaccines,1,PA166136358,rs2770150,chr9,120463139,TLR4,1445400676,3,efficacy,,,1,
PA448497:aspirin,1,PA166134795,rs2768759,chr1,156852462,NTRK1,1043858726,3,efficacy,,black,,
PA450243:lithium;PA451846:valproic acid,2,PA166134710,rs2769605,chr9,87912670,,982032725,3,efficacy,PA447199:Bipolar Disorder,asian,,
PA449899:hydrochlorothiazide,1,PA166135257,rs2776546,chr14,87628156,,1183634267,4,efficacy,PA444552:Hypertension,white,,
PA451850:vancomycin,1,PA166135940,rs2789047,chr6,121189802,,1446899700,3,pk,,white,,
PA134308647:rosuvastatin,1,PA166159236,rs2808630,chr1,159680868,,1448104034,3,efficacy,PA443797:Coronary Disease,asian,,
PA452619:heroin,1,PA166153455,rs274622,chr7,86272940,GRM3,1447990281,3,other,PA444460:Heroin Dependence,asian,,
PA134687887:selective beta-2-adrenoreceptor agonists,1,PA166134164,rs2781659,chr6,131891820,ARG1,1448108740,3,efficacy,PA443450:Asthma,white,,
PA448897:cerivastatin,1,PA166134632,rs2819742,chr1,237990121,RYR2,981419554,3,toxicity,PA445549:Rhabdomyolysis,,1,
PA448500:atorvastatin;PA451363:simvastatin,2,PA166153193,rs2819742,chr1,237990122,RYR2,1447987133,3,toxicity,PA443635:Cardiovascular Diseases,white,,
PA449563:exemestane,1,PA166151952,rs2813543,chr6,152424478,ESR1,1447953282,3,toxicity,PA443560:Breast Neoplasms,,,1
PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,PA166134064,rs2814707,chr9,27536397,MOB3B,981418866,3,efficacy,"PA443434:Arthritis, Rheumatoid",white,,
PA451728:topiramate,1,PA166136156,rs2832407,chr21,30967508,GRIK1,1444666313,3,efficacy; pk,PA446879:Alcohol-Related Disorders,,,1
PA449599:fentanyl,1,PA166135922,rs2835859,chr21,39018162,KCNJ6,1446897347,3,dosage,"PA445210:Pain, Postoperative",asian,,
PA448803:carboplatin;PA449014:cisplatin;PA131285527:oxaliplatin;PA150595617:platinum;PA164713176:Platinum compounds,5,PA166134352,rs25487,chr19,44055726,XRCC1,1448617097,2B,efficacy; toxicity,"PA443622:Carcinoma, Non-Small-Cell Lung; PA446108:Colorectal Neoplasms; PA445062:Neoplasms; PA445204:Ovarian Neoplasms; PA445218:Pancreatic Neoplasms; PA443685:Uterine Cervical Neoplasms",,,1
PA128406956:fluorouracil,1,PA166134618,rs25487,chr19,44055726,XRCC1,1448522460,3,efficacy,PA443756:Colonic Neoplasms; PA446108:Colorectal Neoplasms; PA445062:Neoplasms; PA445503:Rectal Neoplasms; PA443685:Uterine Cervical Neoplasms,asian,,
PA449165:cyclophosphamide,1,PA166134619,rs25487,chr19,44055725,XRCC1,981345289,3,efficacy; toxicity,PA445062:Neoplasms; PA445204:Ovarian Neoplasms,white,,
PA450243:lithium,1,PA166134685,rs2826494,chr21,22104694,,982031344,3,efficacy,PA447199:Bipolar Disorder,,1,
PA452229:antidepressants,1,PA166158951,rs2831440,chr21,29428098,,1448100199,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA452619:heroin,1,PA166135555,rs274618,chr7,86272016,GRM3,1184514457,3,other,PA444460:Heroin Dependence,asian,,
PA448497:aspirin,1,PA166136184,rs28360521,chr22,42528976,CYP2D6,1444667180,3,toxicity,,asian,,
PA449552:etoposide,1,PA166134304,rs2784917,chr10,98928942,SLIT1,981419022,4,toxicity,,black,,
PA450428:methotrexate,1,PA166134248,rs28364006,chr16,16228249,ABCC1,981418966,3,efficacy,PA445451:Psoriasis,,1,
PA449748:gemcitabine,1,PA166153010,rs274717,chr5,6721067,PAPD7,1447981501,3,efficacy,PA445218:Pancreatic Neoplasms,asian,,
PA450616:nevirapine,1,PA166152963,rs28371706,chr22,42129770,CYP2D6,1447980880,3,pk,PA447230:HIV,black,,
PA448785:carbamazepine,1,PA166153186,rs28365063,chr4,69962610,UGT2B7,1447987071,3,pk,PA444065:Epilepsy,black,,
PA450164:lamotrigine,1,PA166158964,rs28365063,chr4,69962610,UGT2B7,1448100318,3,pk,PA444065:Epilepsy,white,,
PA451906:warfarin,1,PA166134058,rs28371686,chr10,96741058,CYP2C9,1183702168,2A,dosage,PA443459:Atrial Fibrillation; PA445465:Pulmonary Embolism; PA447054:Stroke; PA446969:Venous Thrombosis,black,,
PA451578:tacrolimus,1,PA166135368,rs28371759,chr7,99361626,CYP3A4,1447946676,3,pk,PA165817016:Kidney Transplantation,asian,,
PA449167:cyclosporine,1,PA166135369,rs28371759,chr7,99361626,CYP3A4,1183698803,3,other,PA165817016:Kidney Transplantation,asian,,
PA164713176:Platinum compounds,1,PA166151945,rs2839698,chr11,2018853,H19,1447953183,3,efficacy,PA444818:Lung Neoplasms,asian,,
PA450626:nicotine,1,PA166134479,rs28399468,chr19,41349732,CYP2A6,981419138,4,other,,,,1
PA451906:warfarin,1,PA166134057,rs28371685,chr10,96740981,CYP2C9,1183703156,3,dosage,PA443459:Atrial Fibrillation; PA445465:Pulmonary Embolism; PA447054:Stroke; PA446969:Venous Thrombosis,black,,
PA452229:antidepressants,1,PA166136173,rs28364032,chr17,43912342,CRHR1,1444666736,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA451954:zidovudine,1,PA166134915,rs28365062,chr4,69964271,UGT2B7,1127557446,3,other,,black,,
PA449441:efavirenz,1,PA166153181,rs28365062,chr4,69964271,UGT2B7,1447987028,3,pk,PA447230:HIV,,,1
PA449441:efavirenz,1,PA166134478,rs28399454,chr19,40845362,CYP2A6,1447953058,4,other,PA447230:HIV,,,1
PA451365:sirolimus,1,PA166135336,rs2740574,chr7,99382096,CYP3A4,1183689999,3,other,PA165817016:Kidney Transplantation,,,1
PA449383:docetaxel,1,PA166134131,rs2740574,chr7,99382096,CYP3A4,1448263852,3,toxicity; pk,PA445062:Neoplasms,,1,
PA449165:cyclophosphamide,1,PA166134369,rs2740574,chr7,99382096,CYP3A4,981418938,3,toxicity,PA443560:Breast Neoplasms,,,1
PA451578:tacrolimus,1,PA166134377,rs2740574,chr7,99382096,CYP3A4,1448285950,2A,dosage,PA133888799:Organ Transplantation,,,1
PA448388:amlodipine,1,PA166135007,rs2740574,chr7,99382096,CYP3A4,1183603322,3,efficacy,PA444552:Hypertension,black,,
PA449441:efavirenz,1,PA166134475,rs2740574,chr7,99382096,CYP3A; CYP3A4,981419162,3,other,PA447230:HIV,,,1
PA449977:indinavir,1,PA166134175,rs2740574,chr7,99784473,CYP3A4,1448099250,3,other,PA446213:HIV Infections,,,1
PA448785:carbamazepine,1,PA166153191,rs2740574,chr7,99784473,CYP3A4,1447987111,3,pk,PA444065:Epilepsy,,,1
PA451581:tamoxifen,1,PA166152846,rs2740574,chr7,99784473,CYP3A4,1447963711,3,toxicity,PA443560:Breast Neoplasms,white,,
PA448500:atorvastatin;PA451363:simvastatin,2,PA166152864,rs2740574,chr7,99784473,CYP3A4,1447964096,3,dosage,,,1,
PA449015:citalopram;PA449673:fluoxetine;PA450801:paroxetine;PA451333:sertraline,4,PA166135332,rs28401781,chr7,87148328,ABCB1,1183689589,4,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA448320:allopurinol,1,PA166136045,rs2844665,chr6,31006855,,1184764193,3,toxicity,"PA444059:Epidermal Necrolysis, Toxic; PA166120929:severe cutaneous adverse reactions; PA445738:Stevens-Johnson Syndrome",,1,
PA449053:clopidogrel,1,PA166134646,rs28399504,chr10,96522463,CYP2C19,1446908973,1A,efficacy,PA165108401:Acute coronary syndrome; PA443635:Cardiovascular Diseases,,,1
PA450373:mephenytoin,1,PA166153066,rs28399504,chr10,96522463,CYP2C19,1447983182,3,pk,,,1,
PA128406956:fluorouracil,1,PA166153415,rs2847153,chr18,661647,TYMS,1447989808,3,efficacy,PA445218:Pancreatic Neoplasms,,,1
PA448803:carboplatin;PA449383:docetaxel;PA450761:paclitaxel,3,PA166135248,rs2849380,chr18,60979360,BCL2,1183631558,3,toxicity,PA445204:Ovarian Neoplasms,,1,
PA450688:olanzapine;PA450882:perphenazine,2,PA166134202,rs2842030,chr1,163040495,RGS4,981418771,3,efficacy,PA447216:Schizophrenia,black,,
PA451257:risperidone,1,PA166134203,rs2842030,chr1,163040495,RGS4,981418772,4,efficacy,PA447216:Schizophrenia,white,,
PA450428:methotrexate,1,PA166134391,rs2853539,chr18,659829,TYMS,981418914,3,efficacy,"PA443434:Arthritis, Rheumatoid",asian,,
PA449441:efavirenz,1,PA166134480,rs28399499,chr19,41518221,CYP2B6,1447952993,2A,pk,PA447230:HIV,,,1
PA450616:nevirapine,1,PA166134481,rs28399499,chr19,41518221,CYP2B6,1444666904,2A,other,PA447230:HIV,,,1
PA450616:nevirapine,1,PA166136159,rs28399499,chr19,41518221,CYP2B6,1444666391,3,toxicity,"PA444059:Epidermal Necrolysis, Toxic; PA445738:Stevens-Johnson Syndrome",black,,
PA451257:risperidone,1,PA166135760,rs2857657,chr17,32583132,CCL2,1444702783,3,efficacy,PA447216:Schizophrenia,asian,,
PA449441:efavirenz;PA450264:lopinavir;PA164712943:Nucleoside and nucleotide reverse transcriptase inhibitors;PA451260:ritonavir,4,PA166152809,rs2853826,chrM,10398,,1447963061,3,toxicity,PA447230:HIV,white,,
PA451260:ritonavir,1,PA166134223,rs2854116,chr11,116700169,APOC3,1448104323,3,toxicity,PA447230:HIV; PA446213:HIV Infections; PA444528:Hyperlipidemias,,,1
PA449441:efavirenz,1,PA166135274,rs28399433,chr19,41356379,CYP2A6,1444667559,3,other,PA447230:HIV,black,,
PA450626:nicotine,1,PA166134476,rs28399433,chr19,41356379,CYP2A6,981419122,4,other,,,,1
